description,date_announced,country,type,compliance,
Latvian government and public agencies (without further specification) will use remote methods of communication rather than face-to-face interviews wherever possible from March 12th,3/12/20,Latvia,Restriction and Regulation of Government Services,NA,
Lavtiva bans large public gatherins with over 200 people from 13 March,3/12/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"As of May 12, the government of Latvia allowed non-contact sports training and lessons to occur in-person with the stipulation that indoor training may not exceed three hours. There is no limit for outdoor sessions.",5/7/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"As of May 12, the government of Latvia allowed non-contact sports to begin lessons and training with the stipulation that no more than 25 people gather in one training group at the same time.",5/7/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"Starting June 9, the government of Latvia requires public markets and food places to provide at least 4m^2 of space indoors per visitor.",6/9/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"From July 1 to July 31, the government of Latvia will allow no more than 1000 people to gather outside.",6/30/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"From July 1 until July 31, the government of Latvia will allow events with up to 500 people in larger indoor spaces.",6/30/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"Starting August 1, the government of Latvia will allow as many as 3,000 people to gather outside, provided that the epidemiological situation in the country does not deteriorate.",6/30/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"Starting from August 17, the government of Latvia will allow up to 1,000 people to gather indoors.",8/11/20,Latvia,Restrictions of Mass Gatherings,Mandatory,
"Latvia restricts private outside activities: two people only, exception for families, keeping a distance of 2 meters from anyone else",3/29/20,Latvia,Social Distancing,Mandatory,
"On 29 March, Latvia adopted stricter regulations: all persons must maintain a 2-meter distance (exception: 2 persons, persons living in one household, parents to minor children) and observe epidemiological safety measures in private and public events, as well as during public indoor and outdoor activities. All private arrangements (except funerals), public events, meetings, processions, pickets, indoor sports and religious activities are prohibited.",3/29/20,Latvia,Social Distancing,Mandatory,
"From 14 March, Latvia's prime minister announced that only groups of two people or families can gather at once in public places during state of emergency period, and that a 2-meter minimum distance must be maintained from other people.",3/29/20,Latvia,Social Distancing,Mandatory,
"On March 31 the Latvian government put a ban on people who have come to Latvia from abroad from using public transportation, having guests and going to meetings. 

The penalty for non-compliance with compulsory emergency epidemiological requirements will be up to EUR 2,000 for natural persons and up to EUR 5,000 for legal entities.",4/1/20,Latvia,Social Distancing,Mandatory,
"On May 12, Minister of Transport of Latvia began the requirement of mask use when using public transport.",5/7/20,Latvia,Social Distancing,Mandatory,
Lithuania has introduced a state emergency status to make preventive steps against the possible arrival and spread of the virus.,2/26/20,Lithuania,Declaration of Emergency,Mandatory,
Lithuanian Foreign Ministry advises Lithuanian citizens against travelling to China until the spread of the coronavirus has been contained.,1/27/20,Lithuania,External Border Restrictions,Voluntary,
"Lithuania's borders are closed from 16 March - 13 April, to both inbound and outbound persons, with exceptions for delivery trucks, diplomats, etc.",3/27/20,Lithuania,External Border Restrictions,Mandatory,
"On 7 April, the Parliament of Lithuania approved a pay rise of 60 ""100 percent for healthcare workers, including medical residents, working in coronavirus hotspots during the lockdown. Respective amendments to the Law on Prevention and Control of Communicable Diseases in Humans were passed unanimously with 120 votes in favour. The salaries of medical workers working in the hotspots of highly dangerous communicable diseases would increase by 60 to 100 per cent. The pay rise would be financed from the national budget, instead of the Compulsory Health Insurance Fund.",4/7/20,Lithuania,Health Resources,Mandatory,
"On 8 April it was announced that Lithuania has allocated medical devices worth 100,000 euros to Italy and Spain. The prime minister said the funds would be used to buy essential devices produced in Lithuania, including protective shields, respirators, as well as medical equipment use to maintain the breathing function.",4/8/20,Lithuania,Health Resources,Voluntary,
"Announced 8 April and starting 10 April, it will be mandatory to wear facemasks in public in Lithuania. Up until now, it has been only recommended to do so. The Seimas of Lithuania earlier increased fines for people flouting quarantine requirement and they now face fines ranging from 500 to 1,000 euros. Executives of legal entities or other responsible person will face fines ranging from 1,500 to 6,000 euros.",4/8/20,Lithuania,Health Resources,Mandatory,
"On 27 April 2020, a plane from the Spanish Air Force took off from the Lithuanian Air Force Base near _iauliai (Lithuania) to deliver critical medical supplies to Spain, produced by Lithuania, as part of ongoing Allied efforts to contain the COVID-19 pandemic.",4/27/20,Lithuania,Health Resources,Voluntary,
Lithuanian health specialists will consult people arriving from China and have been on standby at Lithuania's three airports.,1/25/20,Lithuania,Health Testing,Mandatory,
"From 10 April until 13 April, in Lithuania, people shall be restricted from going to the cities or towns of a municipality other than their place of residence, except the cases of the death of their close relatives or work, where the workplace is in another municipality, or urgent medical assistance.",4/9/20,Lithuania,Internal Border Restrictions,Mandatory,
"On advisement of the country ""s Ministry of Health, the government of Lithuania will be relaxing restrictions on leisure activities, travel (as of May 4), and will permit healthcare workers to resume regular services.",4/30/20,Lithuania,Lockdown,Mandatory,
"Lithuania sets up a State Emergency Operations Center, headed by Health Minister Aurelijus Veryga, to coordinate efforts against the spread of the COVID-19 virus",2/26/20,Lithuania,"New Task Force, Bureau or Administrative Configuration",Mandatory,
The National Public Health Centers announced that people returning to Lithuania from China can claim 14 days sick leave and request temporary housing if they live with somebody else.,2/21/20,Lithuania,Quarantine,Voluntary,
"As of 25 March, the Lithuanian government requires people returning from any country abroad to self-isolate at home for 14 days, and if a person refuses, they will be forcibly quarantined in a municipal facility for 14 days.",3/25/20,Lithuania,Quarantine,Mandatory,
Lithuania's government recommends avoiding mass events over the coronavirus. Government representatives also advise people in risk groups to avoid mass events.,2/27/20,Lithuania,Restrictions of Mass Gatherings,Voluntary,
"Lithuania ""s government recommended cancelling mass events in the northern city of Siauliai where the country's first case of corona was detected.",2/28/20,Lithuania,Restrictions of Mass Gatherings,Voluntary,
"As of 24 March, stricter measures are imposed on all grocery stores in Lithuania. All visitors should disinfect their hands at the points of entry, shopping trolleys and shopping bags should be cleaned and disinfected after each use. Plastic panels should be installed between cashiers and clients, other protective equipment to be provided. Distance between staff members is at least 2 meters. Visitors should be encouraged to pay by cards. Ban on shopping in supermarkets for more than 2 individuals at a time comes into effect, family members have to go shopping by one.",3/24/20,Lithuania,Social Distancing,Voluntary,
"On 27 March passenger carriers, transport organizers and passengers adopted security measures to reduce the number of carried passengers.

Passenger carriers have been ordered to limit the number of carried passengers. For example, buses are allowed to carry no more than 50% of passengers the bus has seats for.
Carriers also have to ensure the driver is distanced from passengers and perform regular disinfection of the interior of the vehicle.",3/27/20,Lithuania,Social Distancing,Mandatory,
Luxemburg is closing schools.,3/12/20,Luxembourg,Closure and Regulation of Schools,Mandatory,
Luxemburg: Corona School Start,4/16/20,Luxembourg,Closure and Regulation of Schools,Mandatory,
"Luxemburg is restricting social movement to essential acitivities, including grocery shopping, essential travel to work, way to hospital, in order to visit people in need, in an emergency situation and in order to exercise (with 2 meters distance).",3/15/20,Luxembourg,Curfew,Mandatory,
"Luxemburg is declaring a state of crisis on 17 March, which gives the Government the possibility to set up emergency measures in order to face the crisis. Thus, a regulatory and legal framework is established, in line with the Luxembourg Constitution: the scope covered by this Article is limited to measures which cannot be taken in good time through the normal legislative procedure. The Chamber of Deputies can, at every moment, suspend or revoke the state of crisis: Parliamentary control is this fully guaranteed.",3/17/20,Luxembourg,Declaration of Emergency,Mandatory,
"German frontier workers are excempt from the Luxemburg entry ban. The Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border. 18 March.",3/18/20,Luxembourg,External Border Restrictions,Mandatory,
"Luxemburg banned third-country nationals to enter the territory of the Grand Duchy. The restriction was put in place, initially, for a one month period starting on March 18, 2020.  There are several exemptions from this ban, including for  Belgian, French, and German cross-border workers.",3/18/20,Luxembourg,External Border Restrictions,Mandatory,
"French frontier workers are excempt from the Luxemburg entry ban. The Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border together with the attestation of necessary travel and the justification of necessary travel.",3/18/20,Luxembourg,External Border Restrictions,Mandatory,
"Belgian frontier workers ar exempted from the entry ban in Luxemburg, the Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border. 18 March.",3/18/20,Luxembourg,External Border Restrictions,Mandatory,
"Luxemburg: Since 15 June, there have been no more controls at Luxembourg's borders with the 3 border countries.",6/15/20,Luxembourg,External Border Restrictions,Voluntary,
Luxemburg is opening three specified medical centres for patients with coronavirus symptoms on 18. March.,3/18/20,Luxembourg,Health Monitoring,Mandatory,
"Luxemburg bans all stationary visits in hospitals, all essential vitis need to be processed with higthened health security measures. Planned hospital acitivies are recommended to be canceled and staff is recommended to cancel leave.",3/12/20,Luxembourg,Health Resources,Mandatory,
"Luxembourg: As of 4 May, hospitals are very gradually resuming their medical, surgical and care activities, based on the priority needs of patients",5/4/20,Luxembourg,Health Resources,Mandatory,
"Luxembourg: As of 4 May, hospitals are very gradually resuming their medical, surgical and care activities, based on the priority needs of patients.",5/4/20,Luxembourg,Health Resources,Mandatory,
20.6. Luxembourg wants to prevent a second wave of corona with comprehensive tests of the entire population.,6/20/20,Luxembourg,Health Testing,Mandatory,
"Luxembourg: Retirement and nursing homes - family visits no longer prohibited, sanitary restrictions stay in place",6/25/20,Luxembourg,Lockdown,Mandatory,
"Luxemburg is recommending risk groups to reduce social interaction, travel and avoiding mass gatherings and hospital visits.",3/12/20,Luxembourg,Other Policy Not Listed Above,Voluntary,
Luxemburg is recommending a visitors ban on care homes to all relatives and friends of residents of elderly homes.,3/12/20,Luxembourg,Other Policy Not Listed Above,Voluntary,
Luxembourg: Covid-19: Introduction of family support leave,4/3/20,Luxembourg,Other Policy Not Listed Above,Voluntary,
Luxembourg: COVID-19: New procedure for applying for short-time work in cases of force majeure due to the COVID-19 crisis announced on March 27.,3/27/20,Luxembourg,Other Policy Not Listed Above,Mandatory,
"Subject to certain conditions, the Luxembourg State grants aid in the form of repayable advances to support businesses, including natural persons carrying out their activities as their main activity and in self-employment, experiencing temporary financial difficulties as a result of the COVID-19 crisis.

They are based on the law of 3 April 2020 on an aid scheme for businesses in temporary difficulty and amending the amended Law of 19 December 2014 on 1) social measures for the benefit of independent professional artists and workers in the entertainment industry without regular employment, and 2) the promotion of artistic creation.

This repayable financial aid is intended for use by:

commercial, craft or industrial businesses:
that hold a business permit;
are not active in an excluded sector;
If a business has mixed activities (both excluded and eligible sectors), only its eligible activities are covered by aid, on condition that the activities or their costs are kept separate;
in which the employer has not been convicted at least twice for clandestine work or employment of illegally resident non-EU citizens (exclusion for a duration of 3 years from the judgement date);
 
natural or legal persons who:
established in Luxembourg, and;
carry out as their main activity and in a self-employed capacity one of the following activities:
a scientific, artistic or literary activity;
a teaching or educational activity;
the professional activity of doctors, dentists, veterinary surgeons, midwives, physiotherapists, masseurs;
lawyers, notaries, bailiffs, executors of wills;
trustees, chartered accountants, tax consultants;
engineers, architects, chemists, inventors, consultant experts;
journalists, news photographers, interpreters and translators;
or a similar professional activity;
EXCLUDED SECTORS
The following sectors/types of aid are excluded:

the fishery and aquaculture sectors as defined in Regulation (EU) No 1379/2013 of the European Parliament and of the Council of 11 December 2013;
the sector of the primary production of agricultural products;
the sector of the transformation and sale of agricultural products where:
the amount of the aid is fixed on the basis of the price or quantity of products of this type purchased from primary producers or put on the market by the businesses concerned;
the aid is conditional on being partly or fully passed on to the primary producers;
the types of aid in favour of businesses that were in difficulty before 1 January 2020 in accordance with Article 2(18) of Regulation (EU) No 651/2014.
A ""business in difficulty"" refers to any undertaking that fulfils at least one of the following conditions:
if it is a limited liability company (SARL, SA or SCA) other than an SME that has been in existence for at least 3 years, when over half of its subscribed share capital has been lost due to accumulated losses.
This is the case when deduction of accumulated losses from reserves (and all other elements generally considered as part of the company's own funds) leads to a negative cumulative amount that exceeds half of the subscribed share capital; or
in the case of a company where at least some members have unlimited liability for the debt of the company (partnerships or limited partnerships) other than an SME that has been in existence for less than 3 years, where more than half of its own capital as shown in the company accounts has been lost due to accumulated losses; or
if the business has been subject to collective insolvency proceedings or fulfils the criteria under Luxembourg law for being placed in collective insolvency proceedings at the request of its creditors; or
when the business has received rescue aid and has not yet reimbursed the loan or terminated the guarantee, or has received restructuring aid and is still subject to a restructuring plan.",4/30/20,Luxembourg,Other Policy Not Listed Above,Voluntary,
Luxembourg: Partial unemployment extended until end of 2020,6/11/20,Luxembourg,Other Policy Not Listed Above,Voluntary,
The Luxemburg Ministry of Health is starting a public health awareness campaigns surrounding COVID-19 on 29.92.2020.,2/29/20,Luxembourg,Public Awareness Measures,Voluntary,
"Luxemburg is restricting non-essential business from 16 March onwards with the expection of grocery stores, pharmacies, other kinds of food shops and opptricians, pet food shops, telecom shops, fuel stations, shops for health equipment, night shops, kiosks.",3/15/20,Luxembourg,Restriction and Regulation of Businesses,Mandatory,
Luxembourg's objective is to implement a gradual exit from confinement in phases while remaining cautious. Construction sites resumed their activities from 20 April  2020.,4/20/20,Luxembourg,Restriction and Regulation of Businesses,Mandatory,
Luxemburg is restricting non-essential government services from 16 March onwards.,3/15/20,Luxembourg,Restriction and Regulation of Government Services,Mandatory,
Luxemburg bans public gatherings in closed rooms with over 100 people and in open spaces with over 500 people.,3/12/20,Luxembourg,Restrictions of Mass Gatherings,Mandatory,
"Luxemburg is banning all social, cultural, festive, political and sportive activities from 16 March onwards for the entire public.",3/15/20,Luxembourg,Restrictions of Mass Gatherings,Mandatory,
Luxembourg: Private meetings are limited to 10 persons,7/20/20,Luxembourg,Restrictions of Mass Gatherings,Mandatory,
Luxemburg is launching a new online shopping platform for risk groups on 19 March in order to support people who cannot and should not leave their homes to buy essentials goods. The platform offers a delivery service.,3/19/20,Luxembourg,Social Distancing,Voluntary,
Luxembourg bans major parties,7/2/20,Luxembourg,Social Distancing,Mandatory,
"The Ministry of Education and FP and RTVE launch 'We learn at home' (Aprendemos en casa) to facilitate the learning of all students ages 6-16 during the suspension of face-to-face classes on March 23, 2020.
'We learn at home' is a 5-hour a day special television program promoted by the MEFP to alleviate the lack of face-to-face classes motivated by the coronavirus crisis, especially among the most socially vulnerable students.",3/21/20,Mexico,Closure and Regulation of Schools,Voluntary,
"On March 14, 2020, the Mexican health and education ministries announced to extend the school break and close schools from March 23rd to April 17th, with classes resuming on Monday, April 20th. The measure affects all educational levels. This coming year, schools will remain closed and students will learn from home with the ""aprende en casa"" program until states enter the ""green"" level of the stoplight system.",3/14/20,Mexico,Closure and Regulation of Schools,Mandatory,
"On August 3, the Esteban Moctezuma, the education minister, announced that ""Mexican students will be educated in the next academic year through a home-learning program broadcast by major networks such as TV Azteca until a drop in coronavirus infections allows for schools to be reopened."" The start of the academic year in Mexico is August 24",8/3/20,Mexico,Closure and Regulation of Schools,Mandatory,
"On March 30, Mexico declared a Sanitary Emergency and suspended activities until April 30.  This Sanitary Emergency was extended on April 21 to last until May 30.",3/30/20,Mexico,Declaration of Emergency,Mandatory,
"On January 10, 2020, the Mexican ministry of health issues a preventive travel warning to Wuhan, China (no travel restriction) and recommends to avoid unnecessary travel to China in general.",1/10/20,Mexico,External Border Restrictions,Voluntary,
"On March 16, ""the Government of Mexico recommends Mexicans to avoid non-essential international travel.""",3/16/20,Mexico,External Border Restrictions,Voluntary,
The United States and Mexico entered a joint initiative March 21 restricting non-essential travel along the U.S.-Mexico land border to prevent the spread of the COVID-19 virus.  Non-essential travel includes travel that is considered tourism or recreational in nature.  The restrictions are in place until at least September 21.,3/21/20,Mexico,External Border Restrictions,Mandatory,
On April 16 the Mexican Federal Health Secretariat issued a Preventive Travel Notice which emphasises to avoid all non-essential international travel in particular to the United States of America and areas with local community transmission of Coronavirus disease (Covid-19).,4/16/20,Mexico,External Border Restrictions,Voluntary,
"As of June 16, Mexico temporarily bans workers from going to Canada due to COVID-19.",6/16/20,Mexico,External Border Restrictions,Mandatory,
"On January 10, 2020, the Mexican ministry of health recommended travellers with symptoms returning from China or Wuhan, China to seek medical care and to mention their travel history.",1/10/20,Mexico,Health Monitoring,Voluntary,
"""Passengers and aircrew members arriving at and departing from Mexican airports may be subject to health screenings, including temperature checks. "" Those exhibiting symptoms may be subject to additional health screenings and/or asked to quarantine voluntarily.""",5/12/20,Mexico,Health Monitoring,Mandatory,
"On May 28, 2020,the Ministry of Communications and Transport (SCT), Telecommunications of Mexico (TELECOMM) and the satellite operator SES, will temporarily arrange for a high-performance broadband satellite network to support the Ministry of Health in telemedicine and in the integration, processing and sending of information generated by hospitals and health centres attending to the pandemic generated by the coronavirus.
",5/28/20,Mexico,Health Monitoring,Mandatory,
"On May 29, the Mexican government began the Stoplight System (Sem ""foro) as a way to return to the ""new"" normal. The Yellow (Amarillo) phase allows All work activities, taking care of people most at risk of developing a severe COVID-19. The outdoor public spaces will be open on a regular basis, and indoor public spaces can be opened with a reduced capacity. As in other traffic light colours, these activities should be carried out with basic prevention measures and maximum care for people at higher risk of developing a severe COVID-19 frame.",5/29/20,Mexico,Health Monitoring,Mandatory,
"On May 29, the Mexican government began the Stoplight System (Sem ""foro) as a way to return to the ""new"" normal. The Green (verde) phase allows all activities, including schools to resume.",5/29/20,Mexico,Health Monitoring,Mandatory,
"On May 29, the Mexican government began the Stoplight System (Sem ""foro) as a way to return to the ""new"" normal.  The Red (Rojo) stoplight only permits essential economic activities, and people are allowed to go for walks around their homes during the day.  This is the most restrictive level.",5/29/20,Mexico,Health Monitoring,Mandatory,
"On May 29, 2020 the Mexican Ministry of Health announced that it ""has implemented a series of measures to ensure not only the highest level of specialized medical care in the area of psychiatric care and mental health in the six units under its authority, but also the prevention and mitigation of risks of contagion in the face of the health emergency which includes an installation of screens at all entrances to each medical unit to detect suspicious cases.""",5/29/20,Mexico,Health Monitoring,Mandatory,
"On May 29, the Mexican government began the Stoplight System (Sem ""foro) as a way to return to the ""new"" normal. The Orange (Naranja) level allows essential economic activities, non-essential activities will be allowed to work with 30% of staff for operation,always taking into account maximum care measures for persons most at risk of presenting a severe COVID-19 table, open public spaces with a reduced capacity (number of people).",5/29/20,Mexico,Health Monitoring,Mandatory,
"""On June 1, the Mexican government began phasing in non-essential economic activities in some states and municipalities using a national  ""stoplight "" (Sem ""foro) system.  The four metrics to determine the colors in the Mexican government ""s stoplight system are the trend in numbers of new cases; hospital occupancy trends; current hospital occupancy rates; and percentage of positive cases.  If one indicator is red, the whole state will be designated red.  The Mexican government will update the state-level designations every Friday, and the revisions will take effect the following Monday.""",5/29/20,Mexico,Health Monitoring,Mandatory,
"As of July 3, 2020, 17 states declared their risk was the Orange (High)  part of the Traffic Light Monitoring System. The ""orange"" risk states that ""in addition to essential economic activities, companies with nonessential economic activities may conduct operations with 30% of their personnel, always taking into account the greatest degree of care for people with the highest risk (High Risk individuals) of presenting severe COVID-19-related symptoms.  Public spaces will be reopened with reduced capacity."" Those states are: Aguascalientes, Baja California Sur, Campeche, Chihuahua, Mexico City, Durango, Guerrero, Hildago, Jalisco, Michoac ""n, Morelos, Oaxaca, Quer ""taro, Quintana Roo, San Luis Potos "", Yucat ""n, and Zacatecas.",7/6/20,Mexico,Health Monitoring,Mandatory,
"As of July 3 2020, 15 states declared their risk of Covid was the Red (Maximum) part of the Traffic Light Monitoring System.  The ""Red"" risk only allows ""essential economic activities...and people will be limited to move outside their homes during the day.""  Those states are: Baja California, Chiapas, Coahuila, Colima, Estado de M ""xico, Guanajuato, Nayarit, Nuevo Le ""n, Puebla, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, and Veracruz.",7/6/20,Mexico,Health Monitoring,Mandatory,
"The Health Minister of Mexico announced on February 26 that the health system has prepared 2,738 intensive care hospital beds and 6,175 medical ventilators to deal with a possible outbreak of the virus. The director of the Health Ministry ""s epidemiology department said that the country ""s health services have a strategic reserve of 145,000 disposable and biodegradable hospital gowns, 111,000 surgical face masks, 32,599 propene face masks and 42,729 high-tech respirators to protect health workers.",2/26/20,Mexico,Health Resources,Mandatory,
"The health ministry of Mexico announced on March 24, 2020, that ""the Ministry of the Navy of Mexico adheres to the efforts of the Government of Mexico and puts its human and material resources at the service of citizens: it has 10 voluntary isolation centers with a capacity of 4,043 beds and 8 naval medical facilities with 79 beds, which will follow up on serious cases.""",3/24/20,Mexico,Health Resources,Mandatory,
"On April 2, 2020, the Mexican ministries of tourism and health agreed on certain measures, which include that the ministry of tourism in cooperation with the hotel industry ""will prepare a list of lodging centres designed to concentrate all national and foreign guests with respiratory symptoms, and another for foreign guests without respiratory symptoms, while they await the support of their respective governments for their return.""",4/2/20,Mexico,Health Resources,Mandatory,
"On April 8, 2020 the Mexican Ministry of Health installed through the Health Institute for Welfare on orders of President Andr ""s Manuel L ""pez Obrador an air bridge with the People's Republic of China to purchase medical supplies abroad for the population and health workers (1 million masks and 800 000 medical gloves.",4/8/20,Mexico,Health Resources,Mandatory,
"The government of Mexico purchased on April 9 5,272 ventilators from a range of countries, although the only one he cited was Denmark.",4/9/20,Mexico,Health Resources,Voluntary,
"Mexico will buy US $56.6 million worth of medical supplies from China 
A shipment of masks and gloves will arrive on April 10. Mexico was able to secure a purchase of 11.5 million KN95 masks.",4/9/20,Mexico,Health Resources,Voluntary,
"On April 10, 2020, the second flight of the air bridge with the People's Republic of China, organised by the Mexican Ministry of Health through the Health Institute for Welfare on orders of President Andr ""s Manuel L ""pez Obrador, arrived.  This flight included approximately two million medical masks.
",4/10/20,Mexico,Health Resources,Mandatory,
"On April 17, 2020 at a press conference, led by the Mexican President Andr ""s Manuel L ""pez Obrador, it was announced ""that more than 160 countries are co-supporting the proposal presented by the Government of Mexico to the United Nations (UN) on international cooperation to ensure equal global access to medicines, vaccines and medical equipment to address the Covid-19.""
",4/17/20,Mexico,Health Resources,Voluntary,
"On April 10, 2020, the fourth flight of the air bridge with the People's Republic of China, organised by the Ministry of Health through the Health Institute for Welfare on orders of President Andr ""s Manuel L ""pez Obrador, arrived in Mexico. This flight included approximately three million medical masks and 60 000 glasses.",4/17/20,Mexico,Health Resources,Mandatory,
"On April 10, 2020, the third flight of the air bridge with the People's Republic of China, organised by the Mexican Ministry of Health through the Health Institute for Welfare on orders of President Andr ""s Manuel L ""pez Obrador, arrived. The medical supplies included 250 000 medical masks. 
",4/18/20,Mexico,Health Resources,Mandatory,
"On April 13, the Mexican President Andr ""s Manuel L ""pez Obrador signed an agreement with private hospitals so that health authorities can use half of their beds for one month. Due to this agreement, there are additional 3300 hospital beds. 500 of them can be used for intensive care.",4/13/20,Mexico,Health Resources,Mandatory,
"On April 17, Mexico's president urged medical workers aged 60 to 65 to return to their jobs and treat non-coronavirus patients from April 23 to May 23 to free up younger health workers for coronavirus cases. Before it was recommended for them to stay at home and they did not have to work as all people aged over 60.",4/17/20,Mexico,Health Resources,Voluntary,
"On April 28, the Undersecretary for Prevention and Health Promotion, Hugo L ""pez-Gatell Ram ""rez, reported that so far there are 618 notifying hospitals in the information system called Serious Acute Respiratory Infection Network (IRAG) to report bed availability.",4/28/20,Mexico,Health Resources,Voluntary,
"On May 17, ""the Government of Mexico continues to strengthen the states within the framework of the strategy against the Covid-19 pandemic, so the Institute of Health for Welfare (Insabi) began the distribution of 1,226 hospital beds. (...) Specifically, there are 1,068 hospital beds, 140 beds for intensive care and 18 transfer beds.""",5/17/20,Mexico,Health Resources,Mandatory,
"On August 5, The United Kingdom and Mexico hosted the virtual seminar  ""Accelerating access to COVID-19 vaccines in Latin America and the Caribbean."" At this seminar, they discussed ""the importance of the Access to COVID-19 Tools (ACT) Accelerator to ensure global access to vaccines, treatments and tests to face COVID-19... the need for collaboration between governments, international institutions and businesses."" Specifically, Mexico Foreign Minister Marcelo Ebrard said: 'Mexico seeks to bring the governments of Latin America and the Caribbean closer to the leading multilateral institutions in the strategy for the development and distribution of the vaccine against COVID-19, in order to guarantee equitable access. We appreciate the support of the UK in opening spaces for dialogue and building inclusive responses to global problems.'",8/5/20,Mexico,Health Resources,Voluntary,
"The Ministry of Health in Mexico announced on February 24 that it is testing over 5,000 blood samples from across the country for presence of COVID-19.",2/24/20,Mexico,Health Testing,Voluntary,
"On March 24, 2020, the Mexican government implemented measures to stop the spread of the coronavirus. With regards to hygiene, the measure ""advises individuals to wash their hands regularly; cover their mouths when they sneeze and cough with the inner side of their arms; apply distance precautions during greetings."" The measure is effective until April 19, 2020.",3/24/20,Mexico,Hygiene,Mandatory,
"The federal Health Ministry of Mexico said on April 7 that a properly disinfected Covid-19 cadaver  ""poses no risk "" and that the preferable way to dispose of one is cremation, but interment also acceptable. All ceremonies can follow traditional customs.",4/7/20,Mexico,Hygiene,Voluntary,
"On March 26, the Mexican president signed a ""decree that orders companies to allow the vulnerable population such as senior citizens, pregnant women, and people with chronic diseases to stay home from work while getting paid."" This is set to end on April 19.",3/26/20,Mexico,Lockdown,Mandatory,
"On January 20, 2020, the Mexican Ministry of Health announced a ""Preparation and Response Plan"" and activated the National Committee for Safety in Health, which will be coordinated by the Ministry of Health.",1/30/20,Mexico,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On April 7, the government decided to create a National Contingency Center (Centro National de Contingencias, CNC), where scientific, technical and operational efforts will be concentrated to combat the new virus. The CNC will be led by the president and two officials of the army and navy.",4/7/20,Mexico,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On March 21, 2020 the ministry of health launched a public campaign called ""Susana Distancia"" to raise public awareness about the importance of social distancing (1.5m) and health recommendations to prevent the spread of Covid-19. A comic hero ""will tell you how you can help contain an epidemic like COVID-19.""The ministry of health launched a twitter, facebook and instagram account for the campaign. (@Susana Distancia).",3/21/20,Mexico,Public Awareness Measures,Voluntary,
"On March 25, 2020, the Mexican health ministry published information to inform about the usage of face masks, which they only recommend for persons with symptoms, health professionals and care workers of patients with a respiratory infection, if they are in the same room.",3/24/20,Mexico,Public Awareness Measures,Voluntary,
"On January 25, 2020, the Mexican Ministry of Health recommended to ""see a doctor (fever over 38 ""C, headache, sore throat, runny nose, etc.) and stay home when you have a respiratory infection and follow your doctor's instructions.""",1/25/20,Mexico,Quarantine,Voluntary,
"On March 23, 2020, the measures of the ""National Day of Healthy Distance"" organized by the Mexican Ministry of Health started, which include the ""the voluntary social isolation of the elderly. (from 60 years on)""",3/15/20,Mexico,Quarantine,Voluntary,
"In Mexico, ""Non-essential activities are ordered to be suspended immediately from 30 March to 30 April 2020 in order to mitigate the dispersal and transmission of SARS-CoV2 virus in the community""""",3/30/20,Mexico,Restriction and Regulation of Businesses,Mandatory,
"On April 2, 2020, the Mexican ministries of tourism and health agreed on certain measures, which include that ""the hospitality industry, which includes hotels, lodging platform services and the OTAs (internet travel agencies) will no longer accept reservations and will reschedule all those that they received during the period of ""Sana Distancia"" (March 23 until April 30)""",4/2/20,Mexico,Restriction and Regulation of Businesses,Mandatory,
"In Mexico, ""Beginning June 1, 2020, businesses will be able to resume operations if they comply with the Guidelines and the epidemiological risk stop light system, and no prior authorization will be required. """,5/29/20,Mexico,Restriction and Regulation of Businesses,Mandatory,
The United States Embassy and consulates in Mexico began limiting services from March 17 until further notice. Essential consular services to U.S. citizens as well as emergency visa services will continue to be provided.,3/16/20,Mexico,Restriction and Regulation of Government Services,Mandatory,
"On March 14, 2020, the Mexican Ministry of Culture and Health announced that ""education, training and research facilities, following the criteria of the Ministry of Public Education, are extending the Easter holidays from March 20 to April 20.""",3/14/20,Mexico,Restriction and Regulation of Government Services,Mandatory,
"The federal government of Mexico has officially deemed beach tourism a nonessential activity, ordering state and local governments to close beaches from April 2 in an attempt to mitigate the spread of COVID-19.",4/2/20,Mexico,Restriction and Regulation of Government Services,Mandatory,
"On March 30, 2020, the General Health Council (GHC) ordered "" the immediate suspension of non-essential activities in the public from 30 March to 30 April 2020, private and social sectors"" in Mexico.",3/30/20,Mexico,Restriction and Regulation of Government Services,Mandatory,
"On March 14, 2020, the Mexican Ministry of Health recommended to "" ""postpone massive events with more than five thousand people until further notice, that is, any event that meets this criterion, regardless of who organizes it and where it takes place.""",3/14/20,Mexico,Restrictions of Mass Gatherings,Voluntary,
